# Center x,Center y
0.6686022653,1.2911754091
-91.0325969361,3.2383042397
-89.986096637,-12.6874812491
-86.2927349776,-28.1629193567
-79.8701331208,-42.8512254419
-71.0716569317,-56.1147561255
-60.035743757,-67.784079809
-47.0901928823,-77.1340955042
-32.7888992803,-84.1425946746
-17.4397618426,-88.6946180494
-1.5552016366,-90.380241965
14.3668063189,-89.3370055472
29.8539878842,-85.5049722326
44.3993683489,-79.0354942081
57.563882707,-69.9860661508
69.0698572547,-58.8504773528
78.5525424826,-45.8860433263
85.6235483066,-31.5524894722
90.1516830469,-16.3005233291
92.0105158637,-0.4836969643
91.0084280304,15.4221588703
87.24070748,30.8570271669
80.7264694337,45.155630974
71.8157886077,58.2636181109
60.9411081221,69.6768615103
48.3329052212,79.1700775941
34.2276658588,86.3977537098
18.9386703564,90.8617202793
3.0654491306,92.5955784579
-12.8261335925,91.4544759025
-28.3617144285,87.718141649
-43.0395450349,81.1864451755
-56.2436845243,72.2465266743
-67.8420980371,61.2478812755
-77.3798366627,48.5133008648
-84.6642726095,34.4369334876
-89.2053217297,19.1167360753
